"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Columbia","Columbia","Columbia County","Florida",69968,40.4,46494,25790,71.4,124344,829,29,13.9,36.7,50.60000038146973,34.6,10.2,4.6,14.8,46.4,8.6,15.8,12.5
"Morgan","Morgan","Morgan County","Indiana",69922,41.5,64335,31019,77.1,160476,837,25.7,11.9,39.3,51.19999885559082,31.6,11.3,5.9,17.2,41,5.1,10.5,7
"Troup","Troup","Troup County","Georgia",69919,36.4,45649,24771,57.4,133917,823,36.7,16.6,35.1,51.69999885559082,29.3,12.1,7,19.1,37.8,6.5,21.3,11.8
"Fauquier","Fauquier","Fauquier County","Virginia",69728,41.3,100783,44134,78.3,395107,1281,25.5,7.5,26.6,34.10000038146973,29.5,23.3,13,36.3,44.5,3.2,5.8,7.6
"Jefferson","Jefferson","Jefferson County","Arkansas",69282,38.7,40726,24282,62.1,84383,740,30.9,13.9,38.9,52.80000114440918,29.3,11.7,6.3,18,34.3,9.1,22.2,6.8
"Carteret","Carteret","Carteret County","North Carolina",69070,48.6,57194,29053,72.6,211171,902,29.7,8.4,25.6,34,36.9,17.2,11.8,29,46,5.7,10.7,10.5
"Walker","Walker","Walker County","Georgia",69039,41.4,46157,23631,71.8,120326,753,28.9,18,35.2,53.20000076293945,30.1,10.7,5.9,16.6,38.9,5.9,16.1,12.3
"Greene","Greene","Greene County","Tennessee",68834,44.7,42595,22668,74,121768,620,27.9,15.3,41.5,56.80000019073486,26.5,10.4,6.3,16.7,34.5,4.8,16.7,9.4
"Ward","Ward","Ward County","North Dakota",68812,31.6,68871,37158,59.5,210906,981,24.7,6.3,30,36.30000019073486,34.4,21.4,7.9,29.3,39,2.9,9.5,6.4
"Muskogee","Muskogee","Muskogee County","Oklahoma",68736,37.9,43078,24813,65.3,102409,681,32.8,14.7,34.4,49.10000133514404,30.4,14.4,6,20.4,33.4,6.3,21.1,16.5
"Wilkes","Wilkes","Wilkes County","North Carolina",68469,44.9,44107,23989,75.7,125441,632,29.6,19.9,31.7,51.60000038146973,32.6,11.4,4.4,15.8,42.4,5.5,17.7,11.4
"Jones","Jones","Jones County","Mississippi",68352,37.5,41775,24228,72.6,97981,690,37.1,15.9,29.9,45.79999923706055,33.4,12.1,8.7,20.8,36,5.2,21.7,11.4
"Shiawassee","Shiawassee","Shiawassee County","Michigan",68340,42.4,56032,29626,75.6,122215,732,28.2,7.8,37.3,45.09999942779541,37.9,11.5,5.6,17.1,42.9,4.6,10.3,4.8
